city,state,2014_murders,2015_murders,change,population,murder_rate_2014,murder_rate_2015
Baltimore,Maryland,211,344,133,620961,33.9795897004804,55.3980040614467
Chicago,Illinois,411,478,67,2763076,14.8747265728485,17.2995603450647
Houston,Texas,242,303,61,2160821,11.1994468769047,14.0224479491823
Cleveland,Ohio,63,120,57,372624,16.907123534716,32.2040448280304
Washington,D.C.,105,162,57,705749,14.8778106663984,22.9543364567289
Milwaukee,Wisconsin,90,145,55,577222,15.5919213058407,25.1203176594101
Philadelphia,Pennsylvania,248,280,32,1569657,15.7996301102725,17.8382920599851
Kansas City,Missouri,78,109,31,495278,15.7487310157124,22.0078420604186
Nashville,Tennessee,41,72,31,689447,5.94679504008285,10.4431522655113
St. Louis,Missouri,159,188,29,300576,52.8984350047908,62.546577238369
Oklahoma City,Oklahoma,45,73,28,681054,6.60740558017426,10.7186801633938
Louisville,Kentucky,56,81,25,596332,9.39074206985371,13.5830376367527
Denver,Colorado,31,53,22,715522,4.3325013067383,7.4071796534558
Los Angeles,California,260,282,22,3999759,6.50039164859683,7.05042478809348
Dallas,Texas,116,136,20,1304379,8.89312078774651,10.426417475289
New York,New York,333,352,19,8336817,3.99433021019893,4.22223493690698
Orlando,Florida,15,32,17,287435,5.2185711552177,11.1329517977978
Minneapolis,Minnesota,31,47,16,382578,8.10292280267031,12.2850765072743
Omaha,Nebraska,32,48,16,408958,7.82476440123436,11.7371466018515
Sacramento,California,28,43,15,470956,5.9453537060787,9.13036462004943
Anchorage,Alaska,12,26,14,279671,4.2907559239249,9.29663783517061
Charlotte-Mecklenburg,North Carolina,47,61,14,731424,6.42582141138382,8.33989587434922
New Orleans,Louisiana,150,164,14,369250,40.62288422478,44.4143534190928
Albuquerque,New Mexico,30,43,13,564599,5.31350569165018,7.61602482469859
Aurora,Colorado,11,24,13,386261,2.84781533729784,6.2134152813771
Fort Wayne,Indiana,12,25,13,223341,5.37294988380996,11.1936455912707
Long Beach,California,23,36,13,462257,4.97558717336893,7.78787557570789
Durham,North Carolina,21,34,13,217847,9.63979306577552,15.6072840112556
Indianapolis,Indiana,136,148,12,807584,16.8403534493006,18.3262669889448
Newark,New Jersey,93,104,11,279000,33.3333333333333,37.2759856630824
Tulsa,Oklahoma,46,55,9,413066,11.136234887403,13.3150634523297
Portland,Oregon,26,34,8,652503,3.9846560092444,5.21070401208883
San Francisco,California,45,53,8,852469,5.27878433116043,6.21723487892228
Cincinnati,Ohio,60,66,6,309317,19.3975759495922,21.3373335445514
Tampa,Florida,28,34,6,384959,7.27350185344413,8.83210939346788
